port,name,description,wellknown,common
101,hostname,NIC Host Name Server,0,0
102,iso-tsap,ISO-TSAP Class 0,0,0
103,gppitnp,Genesis Point-to-Point Trans Net,0,0
104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,0,0
105,csnet-ns,Mailbox Name Nameserver,0,0
106,3com-tsmux,3COM-TSMUX,0,0
107,rtelnet,Remote Telnet Service,0,0
108,snagas,SNA Gateway Access Server,0,0
109,pop2,Post Office Protocol - Version 2,0,0
110,pop3,Post Office Protocol - Version 3,0,0
111,sunrpc,SUN Remote Procedure Call,0,0
112,mcidas,McIDAS Data Transmission Protocol,0,0
113,auth,Authentication Service,0,0
115,sftp,Simple File Transfer Protocol,0,0
116,ansanotify,ANSA REX Notify,0,0
117,uucp-path,UUCP Path Service,0,0
118,sqlserv,SQL Services,0,0
119,nntp,Network News Transfer Protocol,0,0
120,cfdptkt,CFDPTKT,0,0
121,erpc,Encore Expedited Remote Pro.Call,0,0
122,smakynet,SMAKYNET,0,0
123,ntp,Network Time Protocol,0,1
124,ansatrader,ANSA REX Trader,0,0
125,locus-map,Locus PC-Interface Net Map Ser,0,0
126,nxedit,NXEdit,0,0
127,locus-con,Locus PC-Interface Conn Server,0,0
128,gss-xlicen,GSS X License Verification,0,0
129,pwdgen,Password Generator Protocol,0,0
130,cisco-fna,cisco FNATIVE,0,0
131,cisco-tna,cisco TNATIVE,0,0
132,cisco-sys,cisco SYSMAINT,0,0
133,statsrv,Statistics Service,0,0
134,ingres-net,INGRES-NET Service,0,0
135,epmap,DCE endpoint resolution,0,0
136,profile,PROFILE Naming System,0,0
137,netbios-ns,NETBIOS Name Service,0,0
138,netbios-dgm,NETBIOS Datagram Service,0,0
139,netbios-ssn,NETBIOS Session Service,0,0
140,emfis-data,EMFIS Data Service,0,0
141,emfis-cntl,EMFIS Control Service,0,0
142,bl-idm,Britton-Lee IDM,0,0
143,reserved,Reserved,0,0
144,uma,Universal Management Architecture,0,0
145,uaac,UAAC Protocol,0,0
146,iso-tp0,ISO-IP0,0,0
147,iso-ip,ISO-IP,0,0
148,jargon,Jargon,0,0
149,aed-512,AED 512 Emulation Service,0,0
150,sql-net,SQL-NET,0,0
151,hems,HEMS,0,0
152,bftp,Background File Transfer Program,0,0
153,sgmp,SGMP,0,0
154,netsc-prod,NETSC,0,0
155,netsc-dev,NETSC,0,0
156,sqlsrv,SQL Service,0,0
157,knet-cmp,KNET/VM Command/Message Protocol,0,0
158,pcmail-srv,PCMail Server,0,0
159,nss-routing,NSS-Routing,0,0
160,sgmp-traps,SGMP-TRAPS,0,0
161,snmp,SNMP,0,1
162,snmptrap,SNMPTRAP,0,0
163,cmip-man,CMIP/TCP Manager,0,0
164,cmip-agent,CMIP/TCP Agent,0,0
165,xns-courier,Xerox,0,0
166,s-net,Sirius Systems,0,0
167,namp,NAMP,0,0
168,rsvd,RSVD,0,0
169,send,SEND,0,0
170,print-srv,Network PostScript,0,0
171,multiplex,Network Innovations Multiplex,0,0
172,cl/1,Network Innovations CL/1,0,0
173,xyplex-mux,Xyplex,0,0
174,mailq,MAILQ,0,0
175,vmnet,VMNET,0,0
176,genrad-mux,GENRAD-MUX,0,0
177,xdmcp,X Display Manager Control Protocol,0,0
178,nextstep,NextStep Window Server,0,0
179,bgp,Border Gateway Protocol,0,0
180,ris,Intergraph,0,0
181,unify,Unify,0,0
182,audit,Unisys Audit SITP,0,0
183,ocbinder,OCBinder,0,0
184,ocserver,OCServer,0,0
185,remote-kis,Remote-KIS,0,0
186,kis,KIS Protocol,0,0
187,aci,Application Communication Interface,0,0
188,mumps,Plus Five's MUMPS,0,0
189,qft,Queued File Transport,0,0
190,gacp,Gateway Access Control Protocol,0,0
191,prospero,Prospero Directory Service,0,0
192,osu-nms,OSU Network Monitoring System,0,0
193,srmp,Spider Remote Monitoring Protocol,0,0
194,irc,Internet Relay Chat Protocol,0,0
195,dn6-nlm-aud,DNSIX Network Level Module Audit,0,0
196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir,0,0
197,dls,Directory Location Service,0,0
198,dls-mon,Directory Location Service Monitor,0,0
199,smux,SMUX,0,0
200,src,IBM System Resource Controller,0,0
201,at-rtmp,AppleTalk Routing Maintenance,0,0
202,at-nbp,AppleTalk Name Binding,0,0
203,at-3,AppleTalk Unused,0,0
204,at-echo,AppleTalk Echo,0,0
205,at-5,AppleTalk Unused,0,0
206,at-zis,AppleTalk Zone Information,0,0
207,at-7,AppleTalk Unused,0,0
208,at-8,AppleTalk Unused,0,0
209,qmtp,The Quick Mail Transfer Protocol,0,0
210,z39.50,ANSI Z39.50,0,0
211,914c/g,Texas Instruments 914C/G Terminal,0,0
212,anet,ATEXSSTR,0,0
213,ipx,IPX,0,0
214,vmpwscs,VM PWSCS,0,0
215,softpc,Insignia Solutions,0,0
216,CAIlic,Computer Associates Int'l License Server,0,0
217,dbase,dBASE Unix,0,0
218,mpp,Netix Message Posting Protocol,0,0
219,uarps,Unisys ARPs,0,0
220,imap3,Interactive Mail Access Protocol v3,0,0
221,fln-spx,Berkeley rlogind with SPX auth,0,0
222,rsh-spx,Berkeley rshd with SPX auth,0,0
223,cdc,Certificate Distribution Center,0,0
224,masqdialer,masqdialer,0,0
242,direct,Direct,0,0
243,sur-meas,Survey Measurement,0,0
244,inbusiness,inbusiness,0,0
245,link,LINK,0,0
246,dsp3270,Display Systems Protocol,0,0
247,subntbcst_tftp,SUBNTBCST_TFTP,0,0
248,bhfhs,bhfhs,0,0
256,rap,RAP,0,0
257,set,Secure Electronic Transaction,0,0
259,esro-gen,Efficient Short Remote Operations,0,0
260,openport,Openport,0,0
261,nsiiops,IIOP Name Service over TLS/SSL,0,0
262,arcisdms,Arcisdms,0,0
263,hdap,HDAP,0,0
264,bgmp,BGMP,0,0
265,x-bone-ctl,X-Bone CTL,0,0
266,sst,SCSI on ST,0,0
267,td-service,Tobit David Service Layer,0,0
268,td-replica,Tobit David Replica,0,0
269,manet,MANET Protocols,0,0
270,gist,Q-mode encapsulation for GIST messages,0,0
271,reserved,Reserved,0,0
280,http-mgmt,http-mgmt,0,0
281,personal-link,Personal Link,0,0
282,cableport-ax,Cable Port A/X,0,0
283,rescap,rescap,0,0
284,corerjd,corerjd,0,0
286,fxp,FXP Communication,0,0
287,k-block,K-BLOCK,0,0
308,novastorbakcup,Novastor Backup,0,0
309,entrusttime,EntrustTime,0,0
310,bhmds,bhmds,0,0
311,asip-webadmin,AppleShare IP WebAdmin,0,0
312,vslmp,VSLMP,0,0
313,magenta-logic,Magenta Logic,0,0
314,opalis-robot,Opalis Robot,0,0
315,dpsi,DPSI,0,0
316,decauth,decAuth,0,0
317,zannet,Zannet,0,0
318,pkix-timestamp,PKIX TimeStamp,0,0
319,ptp-event,PTP Event,0,0
320,ptp-general,PTP General,0,0
321,pip,PIP,0,0
322,rtsps,RTSPS,0,0
323,reserved,Reserved,0,0
324,reserved,Reserved,0,0
333,texar,Texar Security Port,0,0
344,pdap,Prospero Data Access Protocol,0,0
345,pawserv,Perf Analysis Workbench,0,0
346,zserv,Zebra server,0,0
347,fatserv,Fatmen Server,0,0
348,csi-sgwp,Cabletron Management Protocol,0,0
349,mftp,mftp,0,0
350,matip-type-a,MATIP Type A,0,0
351,bhoetty,bhoetty,0,0
352,bhoedap4,bhoedap4,0,0
353,ndsauth,NDSAUTH,0,0
354,bh611,bh611,0,0
355,datex-asn,DATEX-ASN,0,0
356,cloanto-net-1,Cloanto Net 1,0,0
357,bhevent,bhevent,0,0
358,shrinkwrap,Shrinkwrap,0,0
359,nsrmp,Network Security Risk Management Protocol,0,0
360,scoi2odialog,scoi2odialog,0,0
361,semantix,Semantix,0,0
362,srssend,SRS Send,0,0
363,rsvp_tunnel,RSVP Tunnel,0,0
364,aurora-cmgr,Aurora CMGR,0,0
365,dtk,DTK,0,0
366,odmr,ODMR,0,0
367,mortgageware,MortgageWare,0,0
368,qbikgdp,QbikGDP,0,0
369,rpc2portmap,rpc2portmap,0,0
370,codaauth2,codaauth2,0,0
371,clearcase,Clearcase,0,0
372,ulistproc,ListProcessor,0,0
373,legent-1,Legent Corporation,0,0
374,legent-2,Legent Corporation,0,0
375,hassle,Hassle,0,0
376,nip,Amiga Envoy Network Inquiry Protocol,0,0
377,tnETOS,NEC Corporation,0,0
378,dsETOS,NEC Corporation,0,0
379,is99c,TIA/EIA/IS-99 modem client,0,0
380,is99s,TIA/EIA/IS-99 modem server,0,0
381,hp-collector,hp performance data collector,0,0
382,hp-managed-node,hp performance data managed node,0,0
383,hp-alarm-mgr,hp performance data alarm manager,0,0
384,arns,A Remote Network Server System,0,0
385,ibm-app,IBM Application,0,0
386,asa,ASA Message Router Object Def.,0,0
387,aurp,Appletalk Update-Based Routing Pro.,0,0
388,unidata-ldm,Unidata LDM,0,0
389,ldap,Lightweight Directory Access Protocol,0,0
390,uis,UIS,0,0
391,synotics-relay,SynOptics SNMP Relay Port,0,0
392,synotics-broker,SynOptics Port Broker Port,0,0
393,meta5,Meta5,0,0
394,embl-ndt,EMBL Nucleic Data Transfer,0,0
395,netcp,NetScout Control Protocol,0,0
396,netware-ip,Novell Netware over IP,0,0
397,mptn,Multi Protocol Trans. Net.,0,0
398,kryptolan,Kryptolan,0,0
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP,0,0
400,osb-sd,Oracle Secure Backup,0,0
401,ups,Uninterruptible Power Supply,0,0
402,genie,Genie Protocol,0,0
403,decap,decap,0,0
404,nced,nced,0,0
405,ncld,ncld,0,0
406,imsp,Interactive Mail Support Protocol,0,0
407,timbuktu,Timbuktu,0,0
408,prm-sm,Prospero Resource Manager Sys. Man.,0,0
409,prm-nm,Prospero Resource Manager Node Man.,0,0
410,decladebug,DECLadebug Remote Debug Protocol,0,0
411,rmt,Remote MT Protocol,0,0
412,synoptics-trap,Trap Convention Port,0,0
413,smsp,Storage Management Services Protocol,0,0
414,infoseek,InfoSeek,0,0
415,bnet,BNet,0,0
416,silverplatter,Silverplatter,0,0
417,onmux,Onmux,0,0
418,hyper-g,Hyper-G,0,0
419,ariel1,Ariel 1,0,0
420,smpte,SMPTE,0,0
421,ariel2,Ariel 2,0,0
422,ariel3,Ariel 3,0,0
423,opc-job-start,IBM Operations Planning and Control Start,0,0
424,opc-job-track,IBM Operations Planning and Control Track,0,0
425,icad-el,ICAD,0,0
426,smartsdp,smartsdp,0,0
427,svrloc,Server Location,0,0
428,ocs_cmu,OCS_CMU,0,0
429,ocs_amu,OCS_AMU,0,0
430,utmpsd,UTMPSD,0,0
431,utmpcd,UTMPCD,0,0
432,iasd,IASD,0,0
433,nnsp,NNTP for transit servers (NNSP),0,0
434,mobileip-agent,MobileIP-Agent,0,0
435,mobilip-mn,MobilIP-MN,0,0
436,dna-cml,DNA-CML,0,0
437,comscm,comscm,0,0
438,dsfgw,dsfgw,0,0
439,dasp,dasp,0,0
440,sgcp,sgcp,0,0
441,decvms-sysmgt,decvms-sysmgt,0,0
442,cvc_hostd,cvc_hostd,0,0
443,https,QUIC transport for HTTP/3 over UDP,0,1
444,snpp,Simple Network Paging Protocol,0,0
445,microsoft-ds,Microsoft-DS,0,0
446,ddm-rdb,DDM-Remote Relational Database Access,0,0
447,ddm-dfm,DDM-Distributed File Management,0,0
448,ddm-ssl,DDM-Remote DB Access Using Secure Sockets,0,0
449,as-servermap,AS Server Mapper,0,0
450,tserver,Computer Supported Telecomunication Applications,0,0
451,sfs-smp-net,Cray Network Semaphore server,0,0
452,sfs-config,Cray SFS config server,0,0
453,creativeserver,CreativeServer,0,0
454,contentserver,ContentServer,0,0
455,creativepartnr,CreativePartnr,0,0
456,macon-udp,macon-udp,0,0
457,scohelp,scohelp,0,0
458,appleqtc,apple quick time,0,0
459,ampr-rcmd,ampr-rcmd,0,0
460,skronk,skronk,0,0
461,datasurfsrv,DataRampSrv,0,0
462,datasurfsrvsec,DataRampSrvSec,0,0
463,alpes,alpes,0,0
464,kpasswd,kpasswd,0,0
465,igmpv3lite,IGMP over UDP for SSM,0,0
466,digital-vrc,digital-vrc,0,0
467,mylex-mapd,mylex-mapd,0,0
468,photuris,proturis,0,0
469,rcp,Radio Control Protocol,0,0
470,scx-proxy,scx-proxy,0,0
471,mondex,Mondex,0,0
472,ljk-login,ljk-login,0,0
473,hybrid-pop,hybrid-pop,0,0
474,tn-tl-w2,tn-tl-w2,0,0
475,tcpnethaspsrv,tcpnethaspsrv,0,0
476,tn-tl-fd1,tn-tl-fd1,0,0
477,ss7ns,ss7ns,0,0
478,spsc,spsc,0,0
479,iafserver,iafserver,0,0
480,iafdbase,iafdbase,0,0
481,ph,Ph service,0,0
482,bgs-nsi,bgs-nsi,0,0
483,ulpnet,ulpnet,0,0
484,integra-sme,Integra Software Management Environment,0,0
485,powerburst,Air Soft Power Burst,0,0
486,avian,avian,0,0
487,saft,saft Simple Asynchronous File Transfer,0,0
488,gss-http,gss-http,0,0
489,nest-protocol,nest-protocol,0,0
490,micom-pfs,micom-pfs,0,0
491,go-login,go-login,0,0
492,ticf-1,Transport Independent Convergence for FNA,0,0
493,ticf-2,Transport Independent Convergence for FNA,0,0
494,pov-ray,POV-Ray,0,0
495,intecourier,intecourier,0,0
496,pim-rp-disc,PIM-RP-DISC,0,0
497,retrospect,Retrospect backup and restore service,0,0
498,siam,siam,0,0
499,iso-ill,ISO ILL Protocol,0,0
500,isakmp,isakmp,0,1
501,stmf,STMF,0,0
502,mbap,Modbus Application Protocol,0,0
503,intrinsa,Intrinsa,0,0
504,citadel,citadel,0,0
505,mailbox-lm,mailbox-lm,0,0
506,ohimsrv,ohimsrv,0,0
507,crs,crs,0,0
508,xvttp,xvttp,0,0
509,snare,snare,0,0
510,fcp,FirstClass Protocol,0,0
511,passgo,PassGo,0,0
512,biff,used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine,0,0
513,who,maintains data bases showing who's logged in to machines on a local net and the load average of the machine,0,0
514,syslog,,0,0
515,printer,spooler,0,0
516,videotex,videotex,0,0
517,talk,"Terminal-based real-time chat service.",0,0
518,ntalk,,0,0
519,utime,unixtime,0,0
520,router,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP,0,0
521,ripng,ripng,0,0
522,ulp,ULP,0,0
523,ibm-db2,IBM-DB2,0,0
524,ncp,NCP,0,0
525,timed,timeserver,0,0
526,tempo,newdate,0,0
527,stx,Stock IXChange,0,0
528,custix,Customer IXChange,0,0
529,irc-serv,IRC-SERV,0,0
530,courier,rpc,0,0
531,conference,chat,0,0
532,netnews,readnews,0,0
533,netwall,for emergency broadcasts,0,0
534,windream,windream Admin,0,0
535,iiop,iiop,0,0
536,opalis-rdv,opalis-rdv,0,0
537,nmsp,Networked Media Streaming Protocol,0,0
538,gdomap,gdomap,0,0
539,apertus-ldp,Apertus Technologies Load Determination,0,0
540,uucp,uucpd,0,0
541,uucp-rlogin,uucp-rlogin,0,0
542,commerce,commerce,0,0
543,klogin,,0,0
544,kshell,krcmd,0,0
545,appleqtcsrvr,appleqtcsrvr,0,0
546,dhcpv6-client,DHCPv6 Client,0,1
547,dhcpv6-server,DHCPv6 Server,0,1
548,afpovertcp,AFP over TCP,0,0
549,idfp,IDFP,0,0
550,new-rwho,new-who,0,0
551,cybercash,cybercash,0,0
552,devshr-nts,DeviceShare,0,0
553,pirp,pirp,0,0
554,rtsp,Real Time Streaming Protocol (RTSP),0,0
555,dsf,,0,0
556,remotefs,rfs server,0,0
557,openvms-sysipc,openvms-sysipc,0,0
558,sdnskmp,SDNSKMP,0,0
559,teedtap,TEEDTAP,0,0
560,rmonitor,rmonitord,0,0
561,monitor,,0,0
562,chshell,chcmd,0,0
563,nntps,nntp protocol over TLS/SSL (was snntp),0,0
564,9pfs,plan 9 file service,0,0
565,whoami,whoami,0,0
566,streettalk,streettalk,0,0
567,banyan-rpc,banyan-rpc,0,0
568,ms-shuttle,microsoft shuttle,0,0
569,ms-rome,microsoft rome,0,0
570,meter,demon,0,0
571,meter,udemon,0,0
572,sonar,sonar,0,0
573,banyan-vip,banyan-vip,0,0
574,ftp-agent,FTP Software Agent System,0,0
575,vemmi,VEMMI,0,0
576,ipcd,ipcd,0,0
577,vnas,vnas,0,0
578,ipdd,ipdd,0,0
579,decbsrv,decbsrv,0,0
580,sntp-heartbeat,SNTP HEARTBEAT,0,0
581,bdp,Bundle Discovery Protocol,0,0
582,scc-security,SCC Security,0,0
583,philips-vc,Philips Video-Conferencing,0,0
584,keyserver,Key Server,0,0
586,password-chg,Password Change,0,0
587,submission,Message Submission,0,0
588,cal,CAL,0,0
589,eyelink,EyeLink,0,0
590,tns-cml,TNS CML,0,0
591,http-alt,"Alternate HTTP port used by FileMaker Web Sharing.",1,0
592,eudora-set,Eudora Set,0,0
593,http-rpc-epmap,HTTP RPC Ep Map,0,0
594,tpip,TPIP,0,0
595,cab-protocol,CAB Protocol,0,0
596,smsd,SMSD,0,0
597,ptcnameservice,PTC Name Service,0,0
598,sco-websrvrmg3,SCO Web Server Manager 3,0,0
599,acp,Aeolon Core Protocol,0,0
600,ipcserver,Sun IPC server,0,0
601,syslog-conn,Reliable Syslog Service,0,0
602,xmlrpc-beep,XML-RPC over BEEP,0,0
603,idxp,IDXP,0,0
604,tunnel,TUNNEL,0,0
605,soap-beep,SOAP over BEEP,0,0
606,urm,Cray Unified Resource Manager,0,0
607,nqs,nqs,0,0
608,sift-uft,Sender-Initiated/Unsolicited File Transfer,0,0
609,npmp-trap,npmp-trap,0,0
610,npmp-local,npmp-local,0,0
611,npmp-gui,npmp-gui,0,0
612,hmmp-ind,HMMP Indication,0,0
613,hmmp-op,HMMP Operation,0,0
614,sshell,SSLshell,0,0
615,sco-inetmgr,Internet Configuration Manager,0,0
616,sco-sysmgr,SCO System Administration Server,0,0
617,sco-dtmgr,SCO Desktop Administration Server,0,0
618,dei-icda,DEI-ICDA,0,0
619,compaq-evm,Compaq EVM,0,0
620,sco-websrvrmgr,SCO WebServer Manager,0,0
621,escp-ip,ESCP,0,0
622,collaborator,Collaborator,0,0
623,asf-rmcp,ASF Remote Management and Control Protocol,0,0
624,cryptoadmin,Crypto Admin,0,0
625,dec_dlm,DEC DLM,0,0
626,asia,ASIA,0,0
627,passgo-tivoli,PassGo Tivoli,0,0
628,qmqp,QMQP,0,0
629,3com-amp3,3Com AMP3,0,0
630,rda,RDA,0,0
631,ipp,IPP (Internet Printing Protocol),0,0
632,bmpp,bmpp,0,0
633,servstat,Service Status update (Sterling Software),0,0
634,ginad,ginad,0,0
635,rlzdbase,RLZ DBase,0,0
636,ldaps,ldap protocol over TLS/SSL (was sldap),0,0
637,lanserver,lanserver,0,0
638,mcns-sec,mcns-sec,0,0
639,msdp,MSDP,0,0
640,entrust-sps,entrust-sps,0,0
641,repcmd,repcmd,0,0
642,esro-emsdp,ESRO-EMSDP V1.3,0,0
643,sanity,SANity,0,0
644,dwr,dwr,0,0
645,pssc,PSSC,0,0
646,ldp,LDP,0,0
647,dhcp-failover,DHCP Failover,0,0
648,rrp,Registry Registrar Protocol (RRP),0,0
649,cadview-3d,Cadview-3d - streaming 3d models over the internet,0,0
650,obex,OBEX,0,0
651,ieee-mms,IEEE MMS,0,0
652,hello-port,HELLO_PORT,0,0
653,repscmd,RepCmd,0,0
654,aodv,AODV,0,0
655,tinc,TINC,0,0
656,spmp,SPMP,0,0
657,rmc,RMC,0,0
658,tenfold,TenFold,0,0
660,mac-srvr-admin,MacOS Server Admin,0,0
661,hap,HAP,0,0
662,pftp,PFTP,0,0
663,purenoise,PureNoise,0,0
664,asf-secure-rmcp,ASF Secure Remote Management and Control Protocol,0,0
665,sun-dr,Sun DR,0,0
666,doom,doom Id Software,0,0
667,disclose,campaign contribution disclosures - SDR Technologies,0,0
668,mecomm,MeComm,0,0
669,meregister,MeRegister,0,0
670,vacdsm-sws,VACDSM-SWS,0,0
671,vacdsm-app,VACDSM-APP,0,0
672,vpps-qua,VPPS-QUA,0,0
673,cimplex,CIMPLEX,0,0
674,acap,ACAP,0,0
675,dctp,DCTP,0,0
676,vpps-via,VPPS Via,0,0
677,vpp,Virtual Presence Protocol,0,0
678,ggf-ncp,GNU Generation Foundation NCP,0,0
679,mrm,MRM,0,0
680,entrust-aaas,entrust-aaas,0,0
681,entrust-aams,entrust-aams,0,0
682,xfr,XFR,0,0
683,corba-iiop,CORBA IIOP,0,0
684,corba-iiop-ssl,CORBA IIOP SSL,0,0
685,mdc-portmapper,MDC Port Mapper,0,0
686,hcp-wismar,Hardware Control Protocol Wismar,0,0
687,asipregistry,asipregistry,0,0
688,realm-rusd,ApplianceWare managment protocol,0,0
689,nmap,NMAP,0,0
690,vatp,Velneo Application Transfer Protocol,0,0
691,msexch-routing,MS Exchange Routing,0,0
692,hyperwave-isp,Hyperwave-ISP,0,0
693,connendp,almanid Connection Endpoint,0,0
694,ha-cluster,ha-cluster,0,0
695,ieee-mms-ssl,IEEE-MMS-SSL,0,0
696,rushd,RUSHD,0,0
697,uuidgen,UUIDGEN,0,0
698,olsr,OLSR,0,0
699,accessnetwork,Access Network,0,0
700,epp,Extensible Provisioning Protocol,0,0
701,lmp,Link Management Protocol (LMP),0,0
702,iris-beep,IRIS over BEEP,0,0
704,elcsd,errlog copy/server daemon,0,0
705,agentx,AgentX,0,0
706,silc,SILC,0,0
707,borland-dsj,Borland DSJ,0,0
709,entrust-kmsh,Entrust Key Management Service Handler,0,0
710,entrust-ash,Entrust Administration Service Handler,0,0
711,cisco-tdp,Cisco TDP,0,0
712,tbrpf,TBRPF,0,0
713,iris-xpc,IRIS over XPC,0,0
714,iris-xpcs,IRIS over XPCS,0,0
715,iris-lwz,IRIS-LWZ,0,0
716,pana,PANA Messages,0,0
729,netviewdm1,IBM NetView DM/6000 Server/Client,0,0
730,netviewdm2,IBM NetView DM/6000 send/tcp,0,0
731,netviewdm3,IBM NetView DM/6000 receive/tcp,0,0
741,netgw,netGW,0,0
742,netrcs,Network based Rev. Cont. Sys.,0,0
744,flexlm,Flexible License Manager,0,0
747,fujitsu-dev,Fujitsu Device Control,0,0
748,ris-cm,Russell Info Sci Calendar Manager,0,0
749,kerberos-adm,kerberos administration,0,0
750,kerberos-iv,kerberos version iv,0,0
751,pump,,0,0
752,qrh,,0,0
753,rrh,,0,0
754,tell,send,0,0
758,nlogin,,0,0
759,con,,0,0
760,ns,,0,0
761,rxe,,0,0
762,quotad,,0,0
763,cycleserv,,0,0
764,omserv,,0,0
765,webster,,0,0
767,phonebook,phone,0,0
769,vid,,0,0
770,cadlock,,0,0
771,rtip,,0,0
772,cycleserv2,,0,0
773,notify,,0,0
774,acmaint_dbd,,0,0
775,acmaint_transd,,0,0
776,wpages,,0,0
777,multiling-http,Multiling HTTP,0,0
780,wpgs,,0,0
800,mdbs_daemon,,0,0
801,device,,0,0
802,mbap-s,Modbus Application Protocol Secure,0,0
810,fcp-udp,FCP Datagram,0,0
828,itm-mcell-s,itm-mcell-s,0,0
829,pkix-3-ca-ra,PKIX-3 CA/RA,0,0
830,netconf-ssh,NETCONF over SSH,0,0
831,netconf-beep,NETCONF over BEEP,0,0
832,netconfsoaphttp,NETCONF for SOAP over HTTPS,0,0
833,netconfsoapbeep,NETCONF for SOAP over BEEP,0,0
847,dhcp-failover2,dhcp-failover 2,0,0
848,gdoi,GDOI,0,0
853,domain-s,DNS query-response protocol run over TLS/DTLS,0,0
854,dlep,Dynamic Link Exchange Protocol (DLEP),0,0
860,iscsi,iSCSI,0,0
861,owamp-test,OWAMP-Test,0,0
862,twamp-test,TWAMP-Test Receiver Port,0,0
873,rsync,rsync,0,0
886,iclcnet-locate,ICL coNETion locate server,0,0
887,iclcnet_svinfo,ICL coNETion server info,0,0
888,accessbuilder,AccessBuilder,0,0
900,omginitialrefs,OMG Initial Refs,0,0
901,smpnameres,SMPNAMERES,0,0
902,ideafarm-door,self documenting Door: send 0x00 for info,0,0
903,ideafarm-panic,self documenting Panic Door: send 0x00 for info,0,0
910,kink,Kerberized Internet Negotiation of Keys (KINK),0,0
